合租,星河路社区,4居室,南卧,金牛,西南交大,星河路社区,金牛-西南交大-星河路社区/15㎡/南/4室1厅1卫/高楼层（7层）,我的家公寓,9天前维护,/高楼层（7层）,750,元/月
合租,四季香榭,4居室,东南卧,金牛,西南交大,四季香榭,金牛-西南交大-四季香榭/18㎡/东南/4室1厅2卫/中楼层（9层）,我的家公寓,6天前维护,/中楼层（9层）,750,元/月
合租,交大智能二期,4居室,北卧,金牛,西南交大,交大智能二期,金牛-西南交大-交大智能二期/21㎡/北/4室1厅1卫/高楼层（7层）,优客逸家,2个月前维护,/高楼层（7层）,850,元/月
整租,星河小区,2室1厅,东,金牛,西南交大,星河小区,金牛-西南交大-星河小区/83㎡/东/2室1厅1卫/中楼层（7层）,链家,1天前维护,/中楼层（7层）,1500,元/月
合租,交大智能二期,4居室,南卧,金牛,西南交大,交大智能二期,金牛-西南交大-交大智能二期/20㎡/南/4室1厅1卫/高楼层（7层）,租荐师,6天前维护,/高楼层（7层）,950,元/月
整租,星河路社区,1室0厅,东南,金牛,西南交大,星河路社区,金牛-西南交大-星河路社区/15㎡/东南/1室0厅0卫/高楼层（7层）,链家,1天前维护,/高楼层（7层）,600,元/月
合租,交大智能一期南苑,5居室,北卧,金牛,西南交大,交大智能一期南苑,金牛-西南交大-交大智能一期南苑/11㎡/北/5室1厅2卫/高楼层（7层）,自如,今天维护,/高楼层（7层）,890,元/月
整租,交大南园,2室2厅,南,金牛,西南交大,交大南园,金牛-西南交大-交大南园/70㎡/南/2室2厅1卫/高楼层（6层）,链家,3天前维护,/高楼层（6层）,1200,元/月
合租,交桂二巷21号院,4居室,北卧,金牛,西南交大,交桂二巷21号院,金牛-西南交大-交桂二巷21号院/15㎡/北/4室1厅1卫/中楼层（7层）,优客逸家,5个月前维护,/中楼层（7层）,840,元/月
整租,星河路社区,2室1厅,南,金牛,西南交大,星河路社区,金牛-西南交大-星河路社区/61㎡/南/2室1厅1卫/高楼层（7层）,链家,3天前维护,/高楼层（7层）,1600,元/月
整租,锦西雅苑,2室1厅,东/东南,金牛,西南交大,锦西雅苑,金牛-西南交大-锦西雅苑/95㎡/东东南/2室1厅1卫/低楼层（7层）,链家,今天维护,/低楼层（7层）,1500,元/月
整租,锦鸿西苑,2室2厅,南,金牛,西南交大,锦鸿西苑,金牛-西南交大-锦鸿西苑/104㎡/南/2室2厅1卫/高楼层（6层）,链家,1天前维护,/高楼层（6层）,1300,元/月
整租,锦西花园三期,1室1厅,东南,金牛,西南交大,锦西花园三期,金牛-西南交大-锦西花园三期/57㎡/东南/1室1厅1卫/中楼层（5层）,链家,4天前维护,/中楼层（5层）,1400,元/月
整租,锦西民园,1室0厅,跃层,金牛,西南交大,锦西民园,金牛-西南交大-锦西民园/10㎡/东南/1室0厅3卫/高楼层（6层）,4天前维护,,/高楼层（6层）,1100,元/月
合租,交大智能一期北苑,5居室,南卧,金牛,西南交大,交大智能一期北苑,金牛-西南交大-交大智能一期北苑/22㎡/南/5室1厅2卫/高楼层（7层）,我的家公寓,18天前维护,/高楼层（7层）,950,元/月
整租,交大北园,2室1厅,南,金牛,西南交大,交大北园,金牛-西南交大-交大北园/65㎡/南/2室1厅1卫/高楼层（7层）,5天前维护,近地铁,/高楼层（7层）,1500,元/月
合租,群星路5号,4居室,东南卧,金牛,西南交大,群星路5号,金牛-西南交大-群星路5号/11㎡/东南/4室1厅1卫/低楼层（7层）,满意公寓,2个月前维护,/低楼层（7层）,700,元/月
整租,交大智能二期,1室1厅,东南,金牛,西南交大,交大智能二期,金牛-西南交大-交大智能二期/57㎡/东南/1室1厅1卫/高楼层（7层）,链家,5天前维护,/高楼层（7层）,1300,元/月
整租,交大智能四期,1室0厅,东南,金牛,西南交大,交大智能四期,金牛-西南交大-交大智能四期/41㎡/东南/1室0厅1卫/低楼层（7层）,链家,8天前维护,/低楼层（7层）,1200,元/月
整租,久鑫华园(交大路),1室1厅,西南,金牛,西南交大,久鑫华园(交大路),金牛-西南交大-久鑫华园(交大路)/45㎡/西南/1室1厅1卫/中楼层（6层）,链家,1天前维护,/中楼层（6层）,1300,元/月
整租,交大智能四期,1室0厅,东,金牛,西南交大,交大智能四期,金牛-西南交大-交大智能四期/37㎡/东/1室0厅1卫/中楼层（7层）,链家,4天前维护,/中楼层（7层）,1400,元/月
整租,交大北园,2室1厅,西南,金牛,西南交大,交大北园,金牛-西南交大-交大北园/54㎡/西南/2室1厅1卫/中楼层（7层）,链家,3天前维护,/中楼层（7层）,1600,元/月
整租,交桂二巷1号院,2室1厅,南/北,金牛,西南交大,交桂二巷1号院,金牛-西南交大-交桂二巷1号院/70㎡/南北/2室1厅1卫/高楼层（7层）,链家,8天前维护,/高楼层（7层）,1550,元/月
整租,交桂一巷11号,2室1厅,东南,金牛,西南交大,交桂一巷11号,金牛-西南交大-交桂一巷11号/75㎡/东南/2室1厅1卫/中楼层（7层）,链家,1天前维护,/中楼层（7层）,1500,元/月
合租,交大智能一期北苑,4居室,北卧,金牛,西南交大,交大智能一期北苑,金牛-西南交大-交大智能一期北苑/11㎡/北/4室1厅2卫/低楼层（7层）,自如,今天维护,/低楼层（7层）,990,元/月
整租,交大南园,2室2厅,东南,金牛,西南交大,交大南园,金牛-西南交大-交大南园/54㎡/东南/2室2厅1卫/低楼层（7层）,链家,今天维护,/低楼层（7层）,1500,元/月
合租,交大智能一期北苑,5居室,东南卧,金牛,西南交大,交大智能一期北苑,金牛-西南交大-交大智能一期北苑/18㎡/东南/5室1厅2卫/高楼层（7层）,我的家公寓,18天前维护,/高楼层（7层）,980,元/月
整租,星河路社区,2室1厅,南,金牛,西南交大,星河路社区,金牛-西南交大-星河路社区/61㎡/南/2室1厅1卫/低楼层（7层）,链家,4天前维护,/低楼层（7层）,1600,元/月
合租,交大智能一期北苑,5居室,南卧,金牛,西南交大,交大智能一期北苑,金牛-西南交大-交大智能一期北苑/12㎡/南/5室1厅2卫/高楼层（7层）,我的家公寓,18天前维护,/高楼层（7层）,650,元/月
整租,长兴街5号院,2室1厅,南,金牛,西南交大,长兴街5号院,金牛-西南交大-长兴街5号院/72㎡/南/2室1厅1卫/高楼层（7层）,链家,1天前维护,/高楼层（7层）,1600,元/月
合租,交大智能一期北苑,5居室,东南卧,金牛,西南交大,交大智能一期北苑,金牛-西南交大-交大智能一期北苑/12㎡/东南/5室1厅2卫/高楼层（7层）,我的家公寓,18天前维护,/高楼层（7层）,780,元/月
合租,交大智能四期,4居室,东南卧,金牛,西南交大,交大智能四期,金牛-西南交大-交大智能四期/11㎡/东南/4室1厅1卫/高楼层（7层）,租荐师,3个月前维护,/高楼层（7层）,700,元/月
合租,群星路5号,4居室,东南卧,金牛,西南交大,群星路5号,金牛-西南交大-群星路5号/15㎡/东南/4室1厅1卫/低楼层（7层）,满意公寓,1个月前维护,/低楼层（7层）,700,元/月
