26101,1575453
26102,1576498
26103,1577767
26104,1576984
26105,1576840
26106,1577876
26107,1566884
26108,1577211
26109,1576759
26110,1577712
26111,1576994
27102,1575337
27103,1570928
27104,1571502
27106,1577155
27107,1576545
27108,1570550
27109,1575415
27111,1577529
27113,1576504
27114,1577923
27115,1577837
27116,1576404
27117,1576475
27118,1577163
27119,1574460
27120,1577771
27121,1577700
27122,1577532
27123,1577407
27124,1577741
27125,1577493
27126,1576350
27127,1575072
27128,1577421
28101,1571190
28105,1577744
28106,1577540
28107,1576257
28108,1577757
28109,1576891
28110,1577713
28111,1576451
