26101,1575453
26102,1575252
26103,1575606
26104,1573492
26105,1575484
26106,1572288
26107,1566884
26108,1575623
26109,1575598
26110,1575602
26111,1569117
27102,1575337
27103,1570928
27104,1571502
27106,1574353
27107,1574833
27108,1570550
27109,1575415
27111,1572749
27113,1574761
27114,1575563
27115,1575081
27116,1574769
27117,1575689
27118,1572470
27119,1574460
27120,1575061
27121,1574303
27122,1575525
27123,1574457
27124,1572153
27125,1575692
27126,1575534
27127,1575072
27128,1571012
28101,1571190
28105,1575475
28106,1575502
28107,1575188
28108,1574843
28109,1574271
28110,1575083
28111,1574830
